Gen	np	tree	tau_4EminEmyoxEsp	tau_5EmyoxEsp	lnL
100	2	11	0.001092	0.000633	-2521565.687
200	2	11	0.001104	0.000598	-2521454.269
300	2	11	0.001126	0.000594	-2521503.749
400	2	11	0.001114	0.000611	-2521483.886
500	2	11	0.001137	0.000632	-2521625.447
600	2	11	0.001112	0.000626	-2521607.243
700	2	11	0.001094	0.000631	-2521673.660
800	2	11	0.001084	0.000598	-2521414.817
900	2	11	0.001126	0.000609	-2521445.186
1000	2	11	0.001156	0.000594	-2521372.809
1100	2	11	0.001127	0.000603	-2521548.778
1200	2	11	0.001130	0.000653	-2521277.787
1300	2	11	0.001114	0.000573	-2521461.320
1400	2	11	0.001114	0.000588	-2521505.205
1500	2	11	0.001139	0.000608	-2521499.152
1600	2	11	0.001118	0.000603	-2521480.299
1700	2	11	0.001150	0.000606	-2521568.847
1800	2	11	0.001142	0.000586	-2521543.665
1900	2	11	0.001169	0.000628	-2521556.055
2000	2	11	0.001145	0.000640	-2521563.878
2100	2	11	0.001200	0.000589	-2521571.474
2200	2	11	0.001206	0.000600	-2521611.689
2300	2	11	0.001166	0.000603	-2521429.504
2400	2	11	0.001107	0.000608	-2521426.310
2500	2	11	0.001111	0.000577	-2521561.739
2600	2	11	0.001129	0.000619	-2521476.061
2700	2	11	0.001139	0.000625	-2521574.018
2800	2	11	0.001163	0.000630	-2521346.408
2900	2	11	0.001105	0.000604	-2521372.939
3000	2	11	0.001147	0.000615	-2521477.590
3100	2	11	0.001114	0.000640	-2521439.731
3200	2	11	0.001142	0.000613	-2521435.771
3300	2	11	0.001155	0.000587	-2521398.425
3400	2	11	0.001177	0.000610	-2521502.420
3500	2	11	0.001167	0.000595	-2521484.345
3600	2	11	0.001144	0.000606	-2521520.964
3700	2	11	0.001154	0.000616	-2521477.073
3800	2	11	0.001127	0.000615	-2521549.987
3900	2	11	0.001096	0.000605	-2521434.675
4000	2	11	0.001127	0.000591	-2521516.084
4100	2	11	0.001098	0.000597	-2521189.977
4200	2	11	0.001121	0.000605	-2521382.616
4300	2	11	0.001134	0.000586	-2521532.318
4400	2	11	0.001159	0.000619	-2521605.346
4500	2	11	0.001140	0.000626	-2521488.118
4600	2	11	0.001122	0.000611	-2521455.847
4700	2	11	0.001148	0.000617	-2521534.972
4800	2	11	0.001121	0.000599	-2521467.758
4900	2	11	0.001128	0.000619	-2521410.716
5000	2	11	0.001140	0.000638	-2521573.826
5100	2	11	0.001157	0.000611	-2521577.675
5200	2	11	0.001134	0.000623	-2521386.885
5300	2	11	0.001092	0.000618	-2521401.132
5400	2	11	0.001113	0.000649	-2521282.672
5500	2	11	0.001111	0.000589	-2521385.271
5600	2	11	0.001139	0.000612	-2521407.268
5700	2	11	0.001159	0.000620	-2521445.684
5800	2	11	0.001164	0.000588	-2521429.958
5900	2	11	0.001167	0.000638	-2521597.498
6000	2	11	0.001144	0.000624	-2521476.068
6100	2	11	0.001121	0.000625	-2521511.811
6200	2	11	0.001132	0.000618	-2521338.928
6300	2	11	0.001141	0.000623	-2521469.102
6400	2	11	0.001170	0.000588	-2521385.244
6500	2	11	0.001172	0.000591	-2521509.353
6600	2	11	0.001136	0.000570	-2521372.945
6700	2	11	0.001151	0.000590	-2521332.942
6800	2	11	0.001124	0.000600	-2521365.643
6900	2	11	0.001155	0.000592	-2521336.831
7000	2	11	0.001145	0.000593	-2521482.853
7100	2	11	0.001165	0.000601	-2521486.229
7200	2	11	0.001126	0.000590	-2521405.117
7300	2	11	0.001122	0.000618	-2521535.344
7400	2	11	0.001141	0.000580	-2521427.753
7500	2	11	0.001172	0.000600	-2521525.031
7600	2	11	0.001152	0.000586	-2521371.543
7700	2	11	0.001113	0.000584	-2521361.232
7800	2	11	0.001072	0.000614	-2521521.173
7900	2	11	0.001098	0.000602	-2521463.031
8000	2	11	0.001115	0.000595	-2521408.494
8100	2	11	0.001114	0.000614	-2521540.967
8200	2	11	0.001158	0.000619	-2521417.021
8300	2	11	0.001195	0.000618	-2521583.515
8400	2	11	0.001143	0.000583	-2521340.221
8500	2	11	0.001125	0.000620	-2521316.814
8600	2	11	0.001128	0.000637	-2521539.503
8700	2	11	0.001113	0.000634	-2521678.647
8800	2	11	0.001128	0.000621	-2521465.271
8900	2	11	0.001124	0.000579	-2521352.472
9000	2	11	0.001126	0.000609	-2521373.914
9100	2	11	0.001130	0.000618	-2521371.927
9200	2	11	0.001129	0.000634	-2521498.767
9300	2	11	0.001142	0.000609	-2521549.533
9400	2	11	0.001120	0.000648	-2521374.748
9500	2	11	0.001118	0.000623	-2521503.847
9600	2	11	0.001143	0.000608	-2521503.582
9700	2	11	0.001125	0.000606	-2521378.024
9800	2	11	0.001114	0.000627	-2521368.100
9900	2	11	0.001132	0.000622	-2521417.841
10000	2	11	0.001137	0.000619	-2521568.545
10100	2	11	0.001132	0.000586	-2521364.219
10200	2	11	0.001145	0.000603	-2521392.904
10300	2	11	0.001149	0.000642	-2521531.359
10400	2	11	0.001118	0.000653	-2521410.719
10500	2	11	0.001137	0.000625	-2521452.063
10600	2	11	0.001125	0.000599	-2521349.807
10700	2	11	0.001146	0.000594	-2521339.426
10800	2	11	0.001129	0.000603	-2521435.581
10900	2	11	0.001117	0.000621	-2521355.013
11000	2	11	0.001138	0.000596	-2521431.075
11100	2	11	0.001175	0.000574	-2521271.744
11200	2	11	0.001141	0.000610	-2521523.647
11300	2	11	0.001154	0.000625	-2521650.593
11400	2	11	0.001106	0.000632	-2521312.151
11500	2	11	0.001173	0.000634	-2521568.336
11600	2	11	0.001142	0.000614	-2521618.112
11700	2	11	0.001127	0.000612	-2521379.429
11800	2	11	0.001133	0.000631	-2521501.461
