Gen	np	tree	tau_4EminEmyoxEsp	lnL
100	2	11	0.001153	0.000607	-2521649.716
200	2	11	0.001136	0.000592	-2521406.149
300	2	11	0.001153	0.000603	-2521690.267
400	2	11	0.001129	0.000635	-2521523.421
500	2	11	0.001148	0.000604	-2521706.924
600	2	11	0.001163	0.000629	-2521584.358
700	2	11	0.001139	0.000619	-2521526.674
800	2	11	0.001129	0.000597	-2521550.943
900	2	11	0.001093	0.000615	-2521529.200
1000	2	11	0.001113	0.000613	-2521512.799
1100	2	11	0.001128	0.000611	-2521458.103
1200	2	11	0.001134	0.000584	-2521425.407
1300	2	11	0.001115	0.000576	-2521434.764
1400	2	11	0.001112	0.000594	-2521533.584
1500	2	11	0.001113	0.000640	-2521691.433
1600	2	11	0.001091	0.000636	-2521638.578
1700	2	11	0.001130	0.000611	-2521408.377
1800	2	11	0.001133	0.000604	-2521585.154
1900	2	11	0.001113	0.000635	-2521674.680
2000	2	11	0.001116	0.000617	-2521620.979
2100	2	11	0.001129	0.000600	-2521607.335
2200	2	11	0.001155	0.000637	-2521621.289
2300	2	11	0.001131	0.000601	-2521672.970
2400	2	11	0.001114	0.000619	-2521777.719
2500	2	11	0.001124	0.000592	-2521557.365
2600	2	11	0.001122	0.000623	-2521604.467
2700	2	11	0.001132	0.000666	-2521622.502
2800	2	11	0.001110	0.000618	-2521624.643
2900	2	11	0.001128	0.000624	-2521420.862
3000	2	11	0.001138	0.000633	-2521543.786
3100	2	11	0.001115	0.000621	-2521532.274
3200	2	11	0.001139	0.000614	-2521709.028
3300	2	11	0.001130	0.000651	-2521599.136
3400	2	11	0.001137	0.000599	-2521464.637
3500	2	11	0.001127	0.000588	-2521431.357
3600	2	11	0.001123	0.000612	-2521667.368
3700	2	11	0.001110	0.000597	-2521507.986
3800	2	11	0.001136	0.000645	-2521708.642
3900	2	11	0.001114	0.000619	-2521527.721
4000	2	11	0.001113	0.000608	-2521450.475
4100	2	11	0.001145	0.000590	-2521580.056
4200	2	11	0.001133	0.000616	-2521505.045
4300	2	11	0.001108	0.000591	-2521525.908
4400	2	11	0.001139	0.000621	-2521651.564
