id,id_code,species
PL1_Pool1_H20_D_2,1,E. myoxinus
PL1_Pool2_A47_2013_C_7,2,E. myoxinus
PL1_Pool2_B105_2013_C_19,3,E. myoxinus
PL1_Pool2_C58_2013_C_14,4,E. myoxinus
PL1_Pool2_G33_2015_D_20,5,E. myoxinus
PL1_Pool2_G76_2015_E_14,6,E. myoxinus
PL1_Pool2_K60_2011_B_7,7,E. myoxinus
PL1_Pool2_E11_D_8,8,E. myoxinus
PL1_Pool2_48_B51_2012,9,E. myoxinus
PL1_Pool1_34_BK100_2018,10,E. myoxinus
PL1_Pool2_39_I11_2015,11,E. myoxinus
PL1_Pool3_11_BK21_2018,12,E. myoxinus
PL1_Pool3_22_D25_2012,13,E. myoxinus
PL1_Pool3_38_BK61_2018,14,E. myoxinus
PL1_PoolX_B20_2013,15,E. myoxinus
PL1_PoolX_J61_2011,16,E. myoxinus
PL1_PoolX_F81_2015,17,E. myoxinus
PL1_PoolX_P72_2012,18,E. myoxinus
PL1_Pool2_B88_2013_C_38,19,E. myoxinus
PL1_Pool2_K64_2011_B_8,20,E. myoxinus
PL1_Pool1_22_BF42_2017,21,E. myoxinus
PL1_Pool1_9_BF74_2017,22,E. myoxinus
PL1_PoolX_H19_2011,23,E. myoxinus
PL1_PoolX_D79_2012,24,E. myoxinus
PL1_PoolX_H26_2011,25,E. myoxinus
PL1_PoolX_H49_2011,26,E. myoxinus
PL1_PoolX_C10_2013,27,E. myoxinus
PL1_PoolX_G6_2015,28,E. myoxinus
PL1_PoolX_I10_2015,29,E. myoxinus
PL1_PoolX_J60_2011,30,E. myoxinus
PL1_PoolX_B17_2013,31,E. myoxinus
PL1_Pool1_1_BE78_2017,32,E. myoxinus
PL1_Pool1_20_BF20_2017,33,E. myoxinus
PL1_Pool3_29_B81_2013,34,E. myoxinus
PL1_Pool1_D75_B_15,35,E. myoxinus
PL1_Pool1_F31_C_2,36,E. carletoni
PL1_Pool1_H39_C_13,37,E. carletoni
PL1_Pool1_J56_B_18,38,E. carletoni
PL1_Pool1_H30_E_5,39,E. carletoni
PL1_Pool2_A23_E_12,40,E. carletoni
PL1_Pool2_A77_D_28,41,E. carletoni
PL1_Pool2_D16_E_10,42,E. carletoni
