id_seq,id,latitude,longitude,species,site
PL1_Pool1_F31_C_2,F31_2011,-13.12942,49.43486,E. carletoni,AMBO
PL1_Pool1_F53_C_20,F53_2011,-13.13394,49.43717,E. carletoni,AMBO
PL1_Pool1_F54_A_4,F54_2011,-13.13356,49.43677,E. carletoni,AMBO
PL1_Pool2_24_G20_2011,G20_2011,-13.13002,49.47275,E. carletoni,AMBO
PL1_Pool2_25_F72_2011,F72_2011,-13.1304,49.46847,E. carletoni,AMBO
PL1_Pool3_27_F57_2011,F57_2011,-13.13172,49.43522,E. carletoni,AMBO
PL1_PoolX_F71_2011,F71_2011,-13.12365,49.47246,E. carletoni,AMBO
PL1_Pool1_P22_D_37,P22_2012,-12.75667,49.48362,E. carletoni,ANALM_2
PL1_Pool1_P36_A_17,P36_2012,-12.78281,49.4722,E. carletoni,ANALM_2
PL1_Pool1_P42_D_3,P42_2012,-12.77994,49.47232,E. carletoni,ANALM_2
PL1_Pool1_P70_C_20,P70_2012,-12.70417,49.47021,E. carletoni,ANALM_2
PL1_Pool2_P25_B_4,P25_2012,-12.77658,49.48513,E. carletoni,ANALM_2
PL1_Pool2_6_P27_2012,P27_2012,-12.78002,49.46749,E. carletoni,ANALM_2
PL1_Pool3_7_P20_2012,P20_2012,-12.7753,49.48607,E. carletoni,ANALM_2
PL1_PoolX_P8_2012,P8_2012,-12.7817,49.46839,E. carletoni,ANALM_2
PL1_Pool1_C61_A_1,C61_2012,-12.81454,49.37368,E. carletoni,ANALM
PL1_Pool1_C73_A_25,C73_2012,-12.82787,49.37353,E. carletoni,ANALM
PL1_Pool2_A77_D_28,A77_2012,-12.80272,49.39316,E. carletoni,ANALM
PL1_Pool2_C25_C_18,C25_2012,-12.81073,49.41211,E. carletoni,ANALM
PL1_Pool2_C26_C_27,C26_2012,-12.80811,49.4016,E. carletoni,ANALM
PL1_Pool2_C29_C_38,C29_2012,-12.79613,49.39997,E. carletoni,ANALM
PL1_Pool2_C34_C_16,C34_2012,-12.83342,49.37071,E. carletoni,ANALM
PL1_Pool2_C35_C_3,C35_2012,-12.82114,49.37656,E. carletoni,ANALM
PL1_Pool2_12_C28_2012,C28_2012,-12.81092,49.41023,E. carletoni,ANALM
PL1_Pool1_29_C40_2012,C40_2012,-12.83296,49.36151,E. carletoni,ANALM
PL1_Pool1_31_C27_2012,C27_2012,-12.81115,49.41193,E. carletoni,ANALM
PL1_Pool3_20_C62_2012,C62_2012,-12.81206,49.3743,E. carletoni,ANALM
PL1_Pool3_31_A80_2012,A80_2012,-12.79702,49.39878,E. carletoni,ANALM
PL1_PoolX_C1_2012,C1_2012,-12.79552,49.39725,E. carletoni,ANALM
PL1_PoolX_C54_2012,C54_2012,-12.82409,49.37765,E. carletoni,ANALM
PL1_PoolX_C7_2012,C7_2012,-12.79502,49.39643,E. carletoni,ANALM
PL1_PoolX_A39_2013,A39_2013,-13.61952,50.00191,E. carletoni,ANALV
PL1_Pool1_A17_A_41,A17_2012,-12.89301,49.35929,E. carletoni,ANDF
PL1_Pool1_B46_C_23,B46_2012,-12.92117,49.32804,E. carletoni,ANDF
PL1_Pool1_B80_D_2,B80_2012,-12.90378,49.33675,E. carletoni,ANDF
PL1_Pool2_A23_E_12,A23_2012,-12.89529,49.35853,E. carletoni,ANDF
PL1_Pool3_46_B45_2012,B45_2012,-12.91802,49.29342,E. carletoni,ANDF
PL1_PoolX_A11_2012,A11_2012,-12.90433,49.33725,E. carletoni,ANDF
PL1_Pool2_A34_C_7,A34_2012,-13.75424,49.53603,E. carletoni,ANDR
PL1_Pool1_9_A39_2014,A39_2014,-13.77796,49.52103,E. carletoni,ANDR
PL1_PoolX_A46_2012,A46_2012,-13.79328,49.51964,E. carletoni,ANDR
PL1_Pool2_33_I09_2015,I09_2015,-13.6246,49.24428,E. carletoni,ANDRA
PL1_Pool1_F114_D_1,F114_2012,-12.94956,49.04516,E. carletoni,ANDRAF
PL1_Pool1_F116_C_37,F116_2012,-12.95697,49.03563,E. carletoni,ANDRAF
PL1_Pool1_F126_B_14,F126_2012,-12.97395,49.03363,E. carletoni,ANDRAF
PL1_Pool1_F131_A_4,F131_2012,-12.98647,49.03048,E. carletoni,ANDRAF
PL1_Pool1_F71_B_18,F71_2012,-12.93474,49.05588,E. carletoni,ANDRAF
PL1_Pool2_F82_C_36,F82_2012,-12.93586,49.05819,E. carletoni,ANDRAF
PL1_Pool2_8_F117_2012,F117_2012,-12.95283,49.0427,E. carletoni,ANDRAF
PL1_Pool1_38_F81_2012,F81_2012,-12.94122,49.05248,E. carletoni,ANDRAF
PL1_PoolX_F127_2012,F127_2012,-12.96312,49.03842,E. carletoni,ANDRAF
PL1_PoolX_F128_2012,F128_2012,-12.96286,49.03832,E. carletoni,ANDRAF
PL1_Pool2_K42_2011_A_10,K42_2011,-13.27303,49.65475,E. carletoni,ANKAMY
PL1_PoolX_K43_2011,K43_2011,-13.27239,49.65454,E. carletoni,ANKAMY
PL1_Pool1_H23_A_51,H23_2011,-13.20341,49.56213,E. carletoni,ANTSB
PL1_Pool1_H37_D_6,H37_2011,-13.21111,49.55832,E. carletoni,ANTSB
PL1_Pool1_H39_C_13,H39_2011,-13.21183,49.55756,E. carletoni,ANTSB
PL1_Pool1_H48_C_37,H48_2011,-13.20763,49.56394,E. carletoni,ANTSB
PL1_Pool1_H61_D_33,H61_2011,-13.2133,49.56013,E. carletoni,ANTSB
PL1_Pool1_D31_C_23,D31_2011,-13.17646,49.70753,E. carletoni,BEK
PL1_Pool1_D32_A_22,D32_2011,-13.17588,49.70531,E. carletoni,BEK
PL1_Pool1_D63_D_3,D63_2011,-13.16367,49.70441,E. carletoni,BEK
PL1_Pool1_E63_D_15,E63_2011,-13.10653,49.70575,E. carletoni,BEK
PL1_Pool1_E64_E_1,E64_2011,-13.11064,49.70809,E. carletoni,BEK
PL1_Pool3_10_D30_2011,D30_2011,-13.17537,49.70412,E. carletoni,BEK
PL1_Pool3_12_D23_2011,D23_2011,-13.16947,49.70804,E. carletoni,BEK
PL1_Pool1_33_D28_2011,D28_2011,-13.16358,49.70686,E. carletoni,BEK
PL1_Pool2_27_D65_2011,D65_2011,-13.16362,49.70806,E. carletoni,BEK
PL1_Pool2_7_D36_2011,D36_2011,-13.17286,49.70744,E. carletoni,BEK
PL1_PoolX_D08_2011,D08_2011,-13.17274,49.7042,E. carletoni,BEK
PL1_PoolX_D09_2011,D09_2011,-13.16357,49.70565,E. carletoni,BEK
PL1_PoolX_D21_2011,D21_2011,-13.17053,49.70282,E. carletoni,BEK
PL1_PoolX_K27_2011,K27_2011,-13.18583,49.71805,E. carletoni,BEK
PL1_PoolX_K28_2011,K28_2011,-13.18599,49.71806,E. carletoni,BEK
PL1_Pool1_28_C35_2013,C35_2013,-13.55742,49.89869,E. carletoni,BEZ
PL1_Pool1_J56_B_18,J56_2011,-13.25624,49.61579,E. carletoni,BIN
PL1_Pool1_E22_E_5,E22_2011,-13.23756,49.7663,E. carletoni,BOB
PL1_Pool1_J11_B_12,J11_2011,-13.25062,49.77049,E. carletoni,BOB
PL1_Pool1_J23_D_40,J23_2011,-13.25062,49.77049,E. carletoni,BOB
PL1_Pool1_J24_B_13,J24_2011,-13.25084,49.77158,E. carletoni,BOB
PL1_Pool1_J25_B_14,J25_2011,-13.24999,49.76903,E. carletoni,BOB
PL1_Pool1_J28_B_15,J28_2011,-13.25018,49.76825,E. carletoni,BOB
PL1_Pool2_22_J32_2011,J32_2011,-13.2485,49.77053,E. carletoni,BOB
PL1_PoolX_E28_2011,E28_2011,-13.22633,49.76224,E. carletoni,BOB
