ID,CODE,SPECIES,COLOUR,POP,orig,FINAL
PL1_PoolX_D21_2011,1,E. carletoni,#1787ff,BEK,D21_2011,BEK.D21
PL1_PoolX_J30_2011,2,E. carletoni,#1787ff,BOB,J30_2011,BOB.J30
PL1_Pool2_24_G20_2011,3,E. carletoni,#1787ff,AMBO,G20_2011,AMBO.G20
PL1_Pool1_48_A53_2012,4,E. carletoni,#1787ff,SERA,A53_2012,SERA.A53
PL1_Pool1_F116_C_37,5,E. carletoni,#1787ff,ANDRAF,F116_2012,ANDRAF.F116
PL1_Pool2_C34_C_16,6,E. carletoni,#1787ff,ANALM,C34_2012,ANALM.C34
PL1_Pool1_38_F81_2012,7,E. carletoni,#1787ff,ANDRAF,F81_2012,ANDRAF.F81
PL1_Pool1_B80_D_2,8,E. carletoni,#1787ff,ANDF,B80_2012,ANDF.B80
PL1_Pool3_27_F57_2011,9,E. carletoni,#1787ff,AMBO,F57_2011,AMBO.F57
PL1_Pool1_E64_E_1,10,E. carletoni,#1787ff,BEK,E64_2011,BEK.E64
PL1_PoolX_B20_2013,11,E. myoxinus,#8700fe,ANALF,B20_2013,ANALF.B20
PL1_Pool2_K60_2011_B_7,12,E. myoxinus,#8700fe,SOL,K60_2011,SOL.K60
PL1_PoolX_P72_2012,13,E. myoxinus,#8700fe,TSAKA,P72_2012,TSAKA.P72
PL1_Pool1_34_BK100_2018,14,E. myoxinus,#8700fe,AMBATO,BK100_2018,AMBATO.BK100
PL1_Pool2_B88_2013_C_38,15,E. myoxinus,#8700fe,SAL,B88_2013,SAL.B88
PL1_Pool2_K64_2011_B_8,16,E. myoxinus,#8700fe,BIN,K64_2011,BIN.K64
PL1_Pool1_22_BF42_2017,17,E. myoxinus,#8700fe,BIN,BF42_2017,BIN.BF42
PL1_Pool1_9_BF74_2017,18,E. myoxinus,#8700fe,BIN,BF74_2017,BIN.BF74
PL1_Pool2_G33_2015_D_20,19,E. myoxinus,#8700fe,KABE,G33_2015,KABE.G33
PL1_PoolX_H19_2011,20,E. myoxinus,#8700fe,ANTSB,H19_2011,ANTSB.H19
PL1_Pool3_45_BH10_2017,21,Eliurus sp. nova,orange,M_AMBRE_SOUTH,BH10_2017,M_AMBRE_SOUTH.BH10
PL1_Pool1_27_BD29_2017,22,Eliurus sp. nova,orange,M_AMBRE_NORTH,BD29_2017,M_AMBRE_NORTH.BD29
PL1_Pool3_8_BG61_2017,23,Eliurus sp. nova,orange,M_AMBRE_SOUTH,BG61_2017,M_AMBRE_SOUTH.BG61
PL1_Pool3_34_BG77_2017,24,Eliurus sp. nova,orange,M_AMBRE_SOUTH,BG77_2017,M_AMBRE_SOUTH.BG77
PL1_Pool1_36_BE35_2017,25,Eliurus sp. nova,orange,M_AMBRE_SOUTH,BE35_2017,M_AMBRE_SOUTH.BE35
PL1_Pool2_46_BD68_2017,26,Eliurus sp. nova,orange,M_AMBRE_SOUTH,BD68_2017,M_AMBRE_SOUTH.BD68
PL1_Pool3_32_BC51_2017,27,Eliurus sp. nova,orange,M_AMBRE_NORTH,BC51_2017,M_AMBRE_NORTH.BC51
PL1_Pool2_11_BG72_2017,28,Eliurus sp. nova,orange,M_AMBRE_SOUTH,BG72_2017,M_AMBRE_SOUTH.BG72
PL1_PoolX_F9_2015,29,E. ellermani,red3,AMBA,F9_2015,AMBA.F9
PL1_Pool1_12_G30_2015,30,E. ellermani,red3,KABE,G30_2015,KABE.G30
PL1_Pool1_24_BF61_2017,31,E. ellermani,red3,BIN,BF61_2017,BIN.BF61
PL1_Pool1_H22_D_37,32,E. ellermani,red3,ANTSB,H22_2011,ANTSB.H22
PL1_PoolX_H21_2011,33,E. ellermani,red3,ANTSB,H21_2011,ANTSB.H21
PL1_Pool1_48_K71_2011,34,E. ellermani,red3,BIN,K71_2011,BIN.K71
PL1_Pool1_H38_D_17,35,E. ellermani,red3,ANTSB,H38_2011,ANTSB.H38
PL1_Pool1_33_H79_2011,36,E. ellermani,red3,ANTSB,H79_2011,ANTSB.H79
PL1_PoolX_G9_2015,37,E. ellermani,red3,KABE,G09_2015,KABE.G09
PL1_Pool1_10_G45_2015,38,E. ellermani,red3,ANKI,G45_2015,ANKI.G45
PL1_Pool2_F23_D_4,39,E. minor,chartreuse3,AMBA,F23_2015,AMBA.F23
PL1_PoolX_E24_2014,40,E. minor,chartreuse3,ANDR,E24_2014,ANDR.E24
PL1_Pool3_48_BK166_2018,41,E. minor,chartreuse3,ANDOHA,BK166_2018,ANDOHA.BK166
PL1_PoolX_B91_2014,42,E. minor,chartreuse3,AMBALA,B91_2014,AMBALA.B91
PL1_Pool2_10_BK159_2018,43,E. minor,chartreuse3,ANDOHA,BK159_2018,ANDOHA.BK159
PL1_Pool1_A90_D_24,44,E. minor,chartreuse3,MAL,A90_2014,MAL.A90
PL1_Pool1_F54_C_24,45,E. minor,chartreuse3,ANTSA,F54_2015,ANTSA.F54
PL1_Pool3_6_BK143_2018,46,E. minor,chartreuse3,ANDOHA,BK143_2018,ANDOHA.BK143
PL1_Pool3_12_E25_2014,47,E. minor,chartreuse3,ANDR,E25_2014,ANDR.E25
PL1_Pool1_30_E32_2014,48,E. minor,chartreuse3,ANDR,E32_2014,ANDR.E32
