ID,CODE,SPECIES,COLOUR,POP,orig,FINAL
PL1_Pool1_B72_A_52,1,E. minor,chartreuse3,AMBALA,B72_2014,AMBALA.B72
PL1_Pool1_F55_C_21,2,E. minor,chartreuse3,ANTSA,F55_2015,ANTSA.F55
PL1_Pool2_F10_E_11,3,E. minor,chartreuse3,AMBA,F10_2015,AMBA.F10
PL1_Pool1_30_E32_2014,4,E. minor,chartreuse3,ANDR,E32_2014,ANDR.E32
PL1_Pool2_9_BK78_2018,5,E. minor,chartreuse3,BEAMA,BK78_2018,BEAMA.BK78
PL1_Pool3_35_BK111_2018,6,E. minor,chartreuse3,LOHANA,BK111_2018,LOHANA.BK111
PL1_Pool3_36_A69_2014,7,E. minor,chartreuse3,MAL,A69_2014,MAL.A69
PL1_Pool3_48_BK166_2018,8,E. minor,chartreuse3,ANDOHA,BK166_2018,ANDOHA.BK166
PL1_Pool1_F31_C_2,9,E. carletoni,#1787ff,AMBO,F31_2011,AMBO.F31
PL1_Pool1_H39_C_13,10,E. carletoni,#1787ff,ANTSB,H39_2011,ANTSB.H39
PL1_Pool1_J56_B_18,11,E. carletoni,#1787ff,BIN,J56_2011,BIN.J56
PL1_Pool1_H30_E_5,12,E. carletoni,#1787ff,MAROV,H30_2012,MAROV.H30
PL1_Pool2_A23_E_12,13,E. carletoni,#1787ff,ANDF,A23_2012,ANDF.A23
PL1_Pool2_A77_D_28,14,E. carletoni,#1787ff,ANALM,A77_2012,ANALM.A77
PL1_Pool2_D16_E_10,15,E. carletoni,#1787ff,TSAKA,D16_2012,TSAKA.D16
PL1_Pool2_F82_C_36,16,E. carletoni,#1787ff,ANDRAF,F82_2012,ANDRAF.F82
PL1_Pool2_P25_B_4,17,E. carletoni,#1787ff,ANALM_2,P25_2012,ANALM_2.P25
PL1_Pool1_11_F19_2012,18,E. carletoni,#1787ff,MAHAR,F19_2012,MAHAR.F19
PL1_Pool1_28_C35_2013,19,E. carletoni,#1787ff,BEZ,C35_2013,BEZ.C35
PL1_Pool2_33_I09_2015,20,E. carletoni,#1787ff,ANDRA,I09_2015,ANDRA.I09
PL1_Pool3_24_I22_2011,21,E. carletoni,#1787ff,SOL,I22_2011,SOL.I22
