ID,CODE,SPECIES,COLOUR,POP,orig,FINAL
PL1_Pool1_H20_D_2,1,E. myoxinus,#8700fe,ANTSB,H20_2011,ANTSB.H20
PL1_Pool2_A47_2013_C_7,2,E. myoxinus,#8700fe,ANALV,A47_2013,ANALV.A47
PL1_Pool2_B105_2013_C_19,3,E. myoxinus,#8700fe,SAL,B105_2013,SAL.B105
PL1_Pool2_C58_2013_C_14,4,E. myoxinus,#8700fe,BEZ,C58_2013,BEZ.C58
PL1_Pool2_G33_2015_D_20,5,E. myoxinus,#8700fe,KABE,G33_2015,KABE.G33
PL1_Pool2_G76_2015_E_14,6,E. myoxinus,#8700fe,ANKI,G76_2015,ANKI.G76
PL1_Pool2_K60_2011_B_7,7,E. myoxinus,#8700fe,SOL,K60_2011,SOL.K60
PL1_Pool2_E11_D_8,8,E. myoxinus,#8700fe,ANDR,E11_2014,ANDR.E11
PL1_Pool2_48_B51_2012,9,E. myoxinus,#8700fe,ANDF,B51_2012,ANDF.B51
PL1_Pool1_34_BK100_2018,10,E. myoxinus,#8700fe,AMBATO,BK100_2018,AMBATO.BK100
PL1_Pool2_39_I11_2015,11,E. myoxinus,#8700fe,ANDRA,I11_2015,ANDRA.I11
PL1_Pool3_11_BK21_2018,12,E. myoxinus,#8700fe,ANDRANO,BK21_2018,ANDRANO.BK21
PL1_Pool3_22_D25_2012,13,E. myoxinus,#8700fe,TSAKA,D25_2012,TSAKA.D25
PL1_Pool3_38_BK61_2018,14,E. myoxinus,#8700fe,BEAMA,BK61_2018,BEAMA.BK61
PL1_PoolX_B20_2013,15,E. myoxinus,#8700fe,ANALF,B20_2013,ANALF.B20
PL1_PoolX_J61_2011,16,E. myoxinus,#8700fe,BIN,J61_2011,BIN.J61
PL1_PoolX_F81_2015,17,E. myoxinus,#8700fe,ANTSA,F81_2015,ANTSA.F81
PL1_PoolX_P72_2012,18,E. myoxinus,#8700fe,TSAKA,P72_2012,TSAKA.P72
PL1_Pool2_B88_2013_C_38,19,E. myoxinus,#8700fe,SAL,B88_2013,SAL.B88
PL1_Pool2_K64_2011_B_8,20,E. myoxinus,#8700fe,BIN,K64_2011,BIN.K64
PL1_Pool1_22_BF42_2017,21,E. myoxinus,#8700fe,BIN,BF42_2017,BIN.BF42
PL1_Pool1_9_BF74_2017,22,E. myoxinus,#8700fe,BIN,BF74_2017,BIN.BF74
PL1_PoolX_H19_2011,23,E. myoxinus,#8700fe,ANTSB,H19_2011,ANTSB.H19
PL1_PoolX_D79_2012,24,E. myoxinus,#8700fe,TSAKA,D79_2012,TSAKA.D79
PL1_PoolX_H26_2011,25,E. myoxinus,#8700fe,ANTSB,H26_2011,ANTSB.H26
PL1_PoolX_H49_2011,26,E. myoxinus,#8700fe,ANTSB,H49_2011,ANTSB.H49
