id_seq,id,latitude,longitude,species,site,,,,,
PL1_PoolX_A11_2012,A11_2012,-12.90433,49.33725,E. carletoni,ANDF,,,Madagascar:ANDF,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_A23_E_12,A23_2012,-12.89529,49.35853,E. carletoni,ANDF,,,Madagascar:ANDF,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_A27_2012,A27_2012,-12.95736,49.20354,E. carletoni,SERA,,,Madagascar:SERA,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_A39_2013,A39_2013,-13.61952,50.00191,E. carletoni,ANALV,,,Madagascar:ANALV,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_A42_2012,A42_2012,-12.95253,49.21246,E. carletoni,SERA,,,Madagascar:SERA,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_A46_2012,A46_2012,-13.79328,49.51964,E. carletoni,ANDR,,,Madagascar:ANDR,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_48_A53_2012,A53_2012,-12.95103,49.207,E. carletoni,SERA,,,Madagascar:SERA,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_A77_D_28,A77_2012,-12.80272,49.39316,E. carletoni,ANALM,,,Madagascar:ANALM,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool3_46_B45_2012,B45_2012,-12.91802,49.29342,E. carletoni,ANDF,,,Madagascar:ANDF,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_B62_2013_C_16,B62_2013,-13.43622,49.71942,E. carletoni,SAL,,,Madagascar:SAL,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_B64_2013,B64_2013,-13.44856,49.72165,E. carletoni,SAL,,,Madagascar:SAL,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_B80_D_2,B80_2012,-12.90378,49.33675,E. carletoni,ANDF,,,Madagascar:ANDF,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool3_30_BC50_2017,BC50_2017,-12.50323,49.17526,E. carletoni,M_AMBRE_NORTH,,,Madagascar:M_AMBRE_NORTH,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_12_C28_2012,C28_2012,-12.81092,49.41023,E. carletoni,ANALM,,,Madagascar:ANALM,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_C34_C_16,C34_2012,-12.83342,49.37071,E. carletoni,ANALM,,,Madagascar:ANALM,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_28_C35_2013,C35_2013,-13.55742,49.89869,E. carletoni,BEZ,,,Madagascar:BEZ,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_D16_E_10,D16_2012,-13.1176,49.21146,E. carletoni,TSAKA,,,Madagascar:TSAKA,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_D21_2011,D21_2011,-13.17053,49.70282,E. carletoni,BEK,,,Madagascar:BEK,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_E28_2011,E28_2011,-13.22633,49.76224,E. carletoni,BOB,,,Madagascar:BOB,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_E64_E_1,E64_2011,-13.11064,49.70809,E. carletoni,BEK,,,Madagascar:BEK,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_F116_C_37,F116_2012,-12.95697,49.03563,E. carletoni,ANDRAF,,,Madagascar:ANDRAF,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_F126_B_14,F126_2012,-12.97395,49.03363,E. carletoni,ANDRAF,,,Madagascar:ANDRAF,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_11_F19_2012,F19_2012,-12.95819,49.11944,E. carletoni,MAHAR,,,Madagascar:MAHAR,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_8_F26_2012,F26_2012,-12.94759,49.12521,E. carletoni,MAHAR,,,Madagascar:MAHAR,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_F31_C_2,F31_2011,-13.12942,49.43486,E. carletoni,AMBO,,,Madagascar:AMBO,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool3_27_F57_2011,F57_2011,-13.13172,49.43522,E. carletoni,AMBO,,,Madagascar:AMBO,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_38_F81_2012,F81_2012,-12.94122,49.05248,E. carletoni,ANDRAF,,,Madagascar:ANDRAF,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_F82_C_36,F82_2012,-12.93586,49.05819,E. carletoni,ANDRAF,,,Madagascar:ANDRAF,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_24_G20_2011,G20_2011,-13.13002,49.47275,E. carletoni,AMBO,,,Madagascar:AMBO,,RAD-seq of Eliurus carletoni : adult ear biopsy
