species,id,head_length,body_lentgth,tail_length,weight,altitude,bio1_37,bio2_37,bio3_37,bio4_37,bio5_37,bio6_37,bio7_37,bio8_37,bio9_37,bio10_37,bio11_37,bio12_37,bio13_37,bio14_37,bio15_37,bio16_37,bio17_37,bio18_37,bio19_37,id_seq
E. myoxinus,A28_2013,40.6,88,140,70,194,243,87,68,1632,303,176,127,260,226,260,220,1479,222,49,48,638,209,638,221,PL1_Pool2_A28_2013_B_20
E. myoxinus,A47_2013,35.87,81,144,55,180,244,87,69,1587,303,177,126,260,227,261,222,1478,223,49,48,638,209,609,221,PL1_Pool2_A47_2013_C_7
E. myoxinus,B105_2013,36.52,100,159,75,468,232,99,72,1544,294,157,137,247,217,247,210,1435,261,30,72,746,127,718,128,PL1_Pool2_B105_2013_C_19
E. myoxinus,B16_2012,32.54,77,126,52,421,239,100,71,1332,302,163,139,251,220,251,219,1462,340,16,99,902,65,902,71,PL1_Pool1_B16_D_33
E. myoxinus,B17_2013,37.72,85,165,55,40,254,86,70,1465,310,188,122,269,239,269,233,1448,261,40,60,684,165,684,173,PL1_PoolX_B17_2013
E. myoxinus,B20_2013,41.34,112,142,80,64,253,87,70,1463,310,186,124,268,238,268,232,1454,261,40,60,689,165,689,172,PL1_PoolX_B20_2013
E. myoxinus,B21_2013,40.61,102,85,85,64,253,87,70,1463,310,186,124,268,238,268,232,1454,261,40,60,689,165,689,172,PL1_Pool2_B21_2013_C_3
E. myoxinus,B38_2013,39.39,95,131,50,380,236,98,72,1528,298,162,136,251,221,251,214,1440,262,31,71,742,131,742,133,PL1_Pool2_5_B38_2013
E. myoxinus,B39_2013,38.27,100,160,60,336,239,97,72,1514,300,166,134,254,225,254,218,1447,265,32,71,743,134,716,136,PL1_Pool2_20_B39_2013
E. myoxinus,B51_2012,39.3,88,133,58,475,232,101,72,1376,296,156,140,245,212,245,212,1445,330,16,97,883,67,871,73,PL1_Pool2_48_B51_2012
E. myoxinus,B54_2012,33.95,77,128,48,521,232,102,72,1355,297,156,141,244,213,244,212,1457,333,16,97,892,65,881,71,PL1_Pool1_B54_A_51
E. myoxinus,B74_2013,40.04,75,134,50,669,221,103,72,1619,286,144,142,237,205,237,198,1426,256,29,74,746,120,721,122,PL1_Pool1_39_B74_2013
E. myoxinus,B76_2013,40.14,94,151,70,570,225,102,73,1578,289,150,139,241,210,241,203,1431,257,29,73,746,123,719,125,PL1_Pool2_B76_2013_C_27
E. myoxinus,B81_2013,39.14,83,126,70,669,221,103,72,1619,286,144,142,237,205,237,198,1426,256,29,74,746,120,721,122,PL1_Pool3_29_B81_2013
E. myoxinus,B82_2013,35.58,77,135,50,554,227,101,73,1555,290,152,138,243,212,243,205,1429,257,30,73,744,125,716,126,PL1_Pool2_B82_2013_C_28
E. myoxinus,B88_2013,37.31,95,139,63,555,227,101,73,1568,290,152,138,243,212,243,205,1427,258,29,74,747,122,719,123,PL1_Pool2_B88_2013_C_38
E. myoxinus,B91_2013,41.9,94,140,57,468,232,99,72,1544,294,157,137,247,217,247,210,1435,261,30,72,746,127,718,128,PL1_Pool1_14_B91_2013
E. myoxinus,B96_2013,32.4,71,114,30,468,232,99,72,1544,294,157,137,247,217,247,210,1435,261,30,72,746,127,718,128,PL1_Pool1_11_B96_2013
E. myoxinus,BE73_2017,44.98,91,110,80,289,245,98,73,1375,305,171,134,258,225,258,225,1445,285,26,80,795,107,795,107,PL1_Pool2_48_BE73_2017
E. myoxinus,BE74_2017,40.62,99,149,75,289,245,98,73,1375,305,171,134,258,225,258,225,1445,285,26,80,795,107,795,107,PL1_Pool2_14_BE74_2017
E. myoxinus,BE76_2017,40.52,70,75,78,289,245,98,73,1375,305,171,134,258,225,258,225,1445,285,26,80,795,107,795,107,PL1_Pool1_48_BE76_2017
E. myoxinus,BE79_2017,37.36,98,141,62,822,215,104,73,1569,280,138,142,231,200,231,193,1407,271,24,81,773,99,752,100,PL1_Pool1_46_BE79_2017
E. myoxinus,BF12_2017,36.35,93,127,62,681,222,103,73,1516,286,146,140,237,208,237,200,1409,272,24,82,778,99,754,100,PL1_Pool2_45_BF12_2017
E. myoxinus,BF20_2017,37.24,75,93,50,596,227,102,73,1497,290,151,139,241,205,241,205,1417,272,24,81,781,101,755,101,PL1_Pool1_20_BF20_2017
E. myoxinus,BF42_2017,35.72,67,131,40,507,232,101,73,1443,295,157,138,246,211,246,211,1428,275,25,80,786,104,759,104,PL1_Pool1_22_BF42_2017
