Model selection results for subset: 6f52a0fc46a6f0e9bcf6ab484429f252
Subset alignment stored here: ./analysis/phylofiles/6f52a0fc46a6f0e9bcf6ab484429f252.phy
This subset contains the following data_blocks: cytb_pos2, cytb_pos1
Number of columns in subset: 764
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G         | 10              | -5870.5776      | 11761.447        | 11761.155       | 11807.541      
HKY+I+G         | 6               | -5885.6587      | 11783.429        | 11783.317       | 11811.148      
SYM+I+G         | 7               | -5893.833       | 11801.814        | 11801.666       | 11834.136      
GTR+G           | 9               | -5892.3555      | 11802.949        | 11802.711       | 11844.458      
HKY+G           | 5               | -5906.297       | 11822.673        | 11822.594       | 11845.786      
SYM+G           | 6               | -5912.5845      | 11837.28         | 11837.169       | 11865.0        
K80+I+G         | 3               | -5954.1797      | 11914.391        | 11914.359       | 11928.275      
K80+G           | 2               | -5973.6836      | 11951.383        | 11951.367       | 11960.645      
GTR+I           | 9               | -5994.1113      | 12006.461        | 12006.223       | 12047.97       
HKY+I           | 5               | -6013.1978      | 12036.475        | 12036.3955      | 12059.588      
SYM+I           | 6               | -6016.0464      | 12044.204        | 12044.093       | 12071.924      
K80+I           | 2               | -6088.0723      | 12180.16         | 12180.145       | 12189.422      
F81+I+G         | 5               | -6303.9536      | 12617.986        | 12617.907       | 12641.1        
F81+G           | 4               | -6323.5293      | 12655.111        | 12655.059       | 12673.613      
JC+I+G          | 2               | -6402.317       | 12808.649        | 12808.634       | 12817.911      
JC+G            | 1               | -6421.2754      | 12844.556        | 12844.551       | 12849.189      
F81+I           | 4               | -6438.045       | 12884.143        | 12884.09        | 12902.645      
JC+I            | 1               | -6530.602       | 13063.209        | 13063.204       | 13067.843      
GTR             | 8               | -6644.8965      | 13305.983        | 13305.793       | 13342.901      
SYM             | 5               | -6670.4634      | 13351.006        | 13350.927       | 13374.119      
HKY             | 4               | -6691.0474      | 13390.147        | 13390.095       | 13408.649      
K80             | 1               | -6768.4517      | 13538.908        | 13538.903       | 13543.542      
F81             | 3               | -7096.622       | 14199.275        | 14199.244       | 14213.16       
JC              | 0               | -7183.4966      | 14366.993        | 14366.993       | 14366.993      
