Model selection results for subset: f6d0a9ed876680ed55ed6b1c1901b49a
Subset alignment stored here: ./analysis/phylofiles/f6d0a9ed876680ed55ed6b1c1901b49a.phy
This subset contains the following data_blocks: cytb_pos3
Number of columns in subset: 381
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G         | 10              | -7056.1284      | 14132.852        | 14132.257       | 14171.685      
HKY+I+G         | 6               | -7066.7847      | 14145.794        | 14145.569       | 14169.227      
GTR+G           | 9               | -7068.8477      | 14156.181        | 14155.695       | 14191.181      
HKY+G           | 5               | -7079.998       | 14170.156        | 14169.996       | 14189.71       
GTR+I           | 9               | -7154.212       | 14326.909        | 14326.424       | 14361.909      
HKY+I           | 5               | -7163.217       | 14336.594        | 14336.434       | 14356.147      
SYM+I+G         | 7               | -7237.3286      | 14488.957        | 14488.657       | 14516.257      
SYM+G           | 6               | -7244.92        | 14502.064        | 14501.84        | 14525.497      
SYM+I           | 6               | -7323.36        | 14658.944        | 14658.72        | 14682.377      
HKY             | 4               | -7328.193       | 14664.492        | 14664.386       | 14680.157      
GTR             | 8               | -7324.471       | 14665.329        | 14664.942       | 14696.484      
K80+I+G         | 3               | -7364.255       | 14734.573        | 14734.51        | 14746.338      
K80+G           | 2               | -7366.7856      | 14737.604        | 14737.571       | 14745.457      
SYM             | 5               | -7447.7134      | 14905.587        | 14905.427       | 14925.141      
K80+I           | 2               | -7496.4297      | 14996.892        | 14996.859       | 15004.745      
K80             | 1               | -7667.8057      | 15337.622        | 15337.611       | 15341.554      
F81+I+G         | 5               | -8050.606       | 16111.372        | 16111.212       | 16130.926      
F81+G           | 4               | -8053.7236      | 16115.554        | 16115.447       | 16131.219      
F81+I           | 4               | -8165.959       | 16340.024        | 16339.918       | 16355.689      
JC+I+G          | 2               | -8195.305       | 16394.64         | 16394.61        | 16402.494      
JC+G            | 1               | -8197.32        | 16396.65         | 16396.64        | 16400.584      
JC+I            | 1               | -8320.594       | 16643.197        | 16643.188       | 16647.13       
F81             | 3               | -8333.402       | 16672.87         | 16672.805       | 16684.633      
JC              | 0               | -8478.824       | 16957.648        | 16957.648       | 16957.648      
