ID,species
AF160542.1,minor
AF160539.1,minor
AF160545.1,minor
AF160544.1,minor
AF160540.1,minor
KF058044.1,minor
AF160543.1,minor
AF160548.1,minor
AF160546.1,minor
AF160547.1,minor
KF058050.1,minor
MAL.A80,minor
AMBAL.B78,minor
AF160553.1,majori
GQ420668.1,majori
AF160555.1,majori
AF160556.1,majori
AF160552.1,majori
HM223717.1,majori
AF160551.1,majori
AF160554.1,majori
KF058049.1,majori
AF160560.1,majori
AF160557.1,majori
AF160550.1,majori
AF160559.1,majori
AF160558.1,majori
AF160549.1,majori
KF058048.1,majori
MK806845.1,tanala
KY753979.1,tanala
AF160533.1,tanala
AF160536.1,tanala
KF058045.1,tanala
AF160534.1,tanala
MK806758.1,tanala
MK806763.1,tanala
AF160538.1,tanala
AF160532.1,tanala
AF160531.1,tanala
AF160537.1,tanala
AF160535.1,tanala
AF160530.1,tanala
MK806743.1,ellermani
MK806741.1,ellermani
MK806723.1,ellermani
MK806727.1,ellermani
MK806732.1,ellermani
MK806739.1,ellermani
MK806725.1,ellermani
MK806734.1,ellermani
KC434026.1,ellermani
KC433975.1,ellermani
KC433996.1,ellermani
MK806740.1,ellermani
KC434025.1,ellermani
BIN.K71,ellermani
KC433977.1,ellermani
KC433972.1,ellermani
MK806735.1,ellermani
ANKET.G09,ellermani
KC434010.1,ellermani
KC434002.1,ellermani
KC433988.1,ellermani
KC434006.1,ellermani
KC433997.1,ellermani
KC434029.1,ellermani
KC433980.1,ellermani
KC434031.1,ellermani
KC434024.1,ellermani
KC433971.1,ellermani
KC434003.1,ellermani
KC433999.1,ellermani
KC434004.1,ellermani
KC433974.1,ellermani
MK806736.1,ellermani
AF160528.1,ellermani
ANKI.G52,ellermani
KC434007.1,ellermani
AF160573.1,ellermani
MK806728.1,ellermani
KC433978.1,ellermani
MK806729.1,ellermani
AF160529.1,ellermani
SAL.B64,carletoni
HM223604.1,carletoni
HM223674.1,carletoni
HM223673.1,carletoni
JQ866520.1,carletoni
HM223671.1,carletoni
HM223602.1,carletoni
ANALV.A39,carletoni
HM223626.1,carletoni
HM223655.1,carletoni
HM223693.1,carletoni
HM223691.1,carletoni
GQ420662.1,carletoni
GQ420658.1,carletoni
GQ420661.1,carletoni
GQ420655.1,carletoni
HM223707.1,carletoni
JQ866539.1,carletoni
HM223615.1,carletoni
HM223619.1,carletoni
JQ866540.1,carletoni
JQ866555.1,carletoni
JQ866550.1,carletoni
JQ866559.1,carletoni
JQ866543.1,carletoni
JQ866519.1,carletoni
HM223603.1,carletoni
HM223612.1,carletoni
HM223613.1,carletoni
HM223608.1,carletoni
HM223676.1,carletoni
JQ866599.1,carletoni
HM223648.1,carletoni
HM223637.1,carletoni
HM223643.1,carletoni
HM223638.1,carletoni
JQ866570.1,carletoni
HM223630.1,carletoni
JQ866564.1,carletoni
HM223632.1,carletoni
JQ866518.1,carletoni
HM223649.1,carletoni
JQ866571.1,carletoni
HM223654.1,carletoni
HM223678.1,carletoni
HM223686.1,carletoni
JQ866526.1,carletoni
JQ866536.1,carletoni
JQ866517.1,carletoni
HM223697.1,carletoni
HM223692.1,carletoni
HM223700.1,carletoni
HM223666.1,carletoni
HM223616.1,carletoni
HM223641.1,carletoni
HM223621.1,carletoni
HM223670.1,carletoni
JQ866528.1,carletoni
HM223722.1,carletoni
JQ866541.1,carletoni
HM223687.1,carletoni
JQ866617.1,carletoni
HM223652.1,carletoni
HM223688.1,carletoni
GQ420657.1,carletoni
HM223704.1,carletoni
HM223622.1,carletoni
HM223605.1,carletoni
HM223606.1,carletoni
MK806816.1,tsingimbato
MK806817.1,tsingimbato
MK806840.1,tsingimbato
MK806828.1,tsingimbato
MK806826.1,tsingimbato
MK806825.1,tsingimbato
MK806822.1,tsingimbato
MK806821.1,tsingimbato
MK806820.1,tsingimbato
MK806813.1,tsingimbato
MK806832.1,tsingimbato
BC51_2017,sp_nova
BG77_2017,sp_nova
BG72_2017,sp_nova
BH10_2017,sp_nova
BE35_2017,sp_nova
BD29_2017,sp_nova
BG61_2017,sp_nova
KY753977.1,grandidieri
AF160572.1,grandidieri
AF160571.1,grandidieri
GQ420663.1,antsingy
GQ420666.1,antsingy
HM223711.1,antsingy
GQ420664.1,antsingy
GQ420667.1,antsingy
GQ420665.1,antsingy
KF058047.1,webbi
KF058046.1,webbi
KF170842.1,webbi
KF170838.1,webbi
KF170839.1,webbi
AF160526.1,webbi
KF170840.1,webbi
AF160524.1,webbi
AF160520.1,webbi
AF160527.1,webbi
HM223718.1,webbi
AF160521.1,webbi
AF160522.1,webbi
AF160523.1,webbi
AF160525.1,webbi
KY753980.1,webbi
KF058142.1,myoxinus
KF058057.1,myoxinus
KF058075.1,myoxinus
KF058074.1,myoxinus
AF160567.1,myoxinus
KF058123.1,myoxinus
KF058064.1,myoxinus
KF058056.1,myoxinus
KF058058.1,myoxinus
AF160568.1,myoxinus
KF058061.1,myoxinus
KF058059.1,myoxinus
KF058069.1,myoxinus
KF058125.1,myoxinus
SAL.B82,myoxinus
KF058085.1,myoxinus
KF058088.1,myoxinus
KF058126.1,myoxinus
KF058078.1,myoxinus
ANALV.A28,myoxinus
KY753978.1,myoxinus
KF058139.1,myoxinus
KF058124.1,myoxinus
BEZAV.C81,myoxinus
BEZAV.C58,myoxinus
BEZAV.C71,myoxinus
ANALF.B20,myoxinus
KF058086.1,myoxinus
KF058099.1,myoxinus
KF058079.1,myoxinus
KF058098.1,myoxinus
KF058148.1,myoxinus
KF058152.1,myoxinus
KF058162.1,myoxinus
KF058161.1,myoxinus
KF058150.1,myoxinus
KF058147.1,myoxinus
KF058151.1,myoxinus
KF058154.1,myoxinus
KF058153.1,myoxinus
KF058149.1,myoxinus
KF058167.1,myoxinus
KF058166.1,myoxinus
AF160563.1,myoxinus
AF160562.1,myoxinus
KF058157.1,myoxinus
KF058145.1,myoxinus
KF058146.1,myoxinus
KF058054.1,myoxinus
KF058141.1,myoxinus
KF058112.1,myoxinus
KF058144.1,myoxinus
AF160561.1,myoxinus
KF058108.1,myoxinus
KF058104.1,myoxinus
KF058122.1,myoxinus
KF058051.1,myoxinus
KF058110.1,myoxinus
KF058111.1,myoxinus
KF058068.1,myoxinus
KF058155.1,myoxinus
KF058055.1,myoxinus
KF058168.1,myoxinus
KF058169.1,myoxinus
AF160569.1,myoxinus
AF160565.1,myoxinus
